x, a priori error bound, running error bound, forward error
    9.90880E-01,     7.04317E-27,     7.00673E-27,     3.41572E-27
    9.90890E-01,     7.00485E-27,     6.96883E-27,     6.21536E-27
    9.90900E-01,     6.96670E-27,     6.93156E-27,     2.96106E-27
    9.90910E-01,     6.92872E-27,     6.89133E-27,     4.84257E-28
    9.90920E-01,     6.89090E-27,     6.85568E-27,     3.36760E-27
    9.90930E-01,     6.85326E-27,     6.81581E-27,     5.41407E-28
    9.90940E-01,     6.81577E-27,     6.77976E-27,     1.93786E-27
    9.90950E-01,     6.77845E-27,     6.74270E-27,     8.38384E-28
    9.90960E-01,     6.74130E-27,     6.70379E-27,     6.15812E-27
    9.90970E-01,     6.70431E-27,     6.66836E-27,     8.33058E-28
    9.90980E-01,     6.66748E-27,     6.63122E-27,     5.52221E-27
    9.90990E-01,     6.63082E-27,     6.59390E-27,     2.26042E-27
    9.91000E-01,     6.59432E-27,     6.55854E-27,     4.50299E-28
    9.91010E-01,     6.55798E-27,     6.52273E-27,     5.12779E-27
    9.91020E-01,     6.52180E-27,     6.48431E-27,     4.75459E-27
    9.91030E-01,     6.48579E-27,     6.44895E-27,     4.36725E-28
    9.91040E-01,     6.44993E-27,     6.41410E-27,     1.41514E-28
    9.91050E-01,     6.41423E-27,     6.37786E-27,     1.73518E-27
    9.91060E-01,     6.37869E-27,     6.34387E-27,     2.33591E-27
    9.91070E-01,     6.34332E-27,     6.30667E-27,     2.31057E-27
    9.91080E-01,     6.30809E-27,     6.27111E-27,     6.06398E-28
    9.91090E-01,     6.27303E-27,     6.23674E-27,     2.19296E-27
    9.91100E-01,     6.23812E-27,     6.20040E-27,     1.54040E-27
    9.91110E-01,     6.20337E-27,     6.16688E-27,     9.05134E-28
    9.91120E-01,     6.16878E-27,     6.13205E-27,     2.54662E-27
    9.91130E-01,     6.13434E-27,     6.09822E-27,     3.13721E-27
    9.91140E-01,     6.10006E-27,     6.06458E-27,     3.17734E-27
    9.91150E-01,     6.06593E-27,     6.02956E-27,     1.42802E-27
    9.91160E-01,     6.03196E-27,     5.99622E-27,     4.77799E-28
    9.91170E-01,     5.99813E-27,     5.96209E-27,     1.28651E-28
    9.91180E-01,     5.96447E-27,     5.92717E-27,     2.99735E-27
    9.91190E-01,     5.93095E-27,     5.89370E-27,     3.11454E-27
    9.91200E-01,     5.89758E-27,     5.86025E-27,     1.22039E-27
    9.91210E-01,     5.86437E-27,     5.82712E-27,     6.48314E-29
    9.91220E-01,     5.83131E-27,     5.79517E-27,     2.64160E-27
    9.91230E-01,     5.79840E-27,     5.76252E-27,     2.58298E-27
    9.91240E-01,     5.76563E-27,     5.72977E-27,     2.11063E-27
    9.91250E-01,     5.73302E-27,     5.69633E-27,     2.10029E-27
    9.91260E-01,     5.70056E-27,     5.66273E-27,     9.17450E-28
    9.91270E-01,     5.66824E-27,     5.63215E-27,     1.76971E-27
    9.91280E-01,     5.63607E-27,     5.59990E-27,     1.17844E-27
    9.91290E-01,     5.60405E-27,     5.56821E-27,     1.86099E-27
    9.91300E-01,     5.57218E-27,     5.53575E-27,     2.71410E-27
    9.91310E-01,     5.54045E-27,     5.50458E-27,     1.30579E-27
    9.91320E-01,     5.50887E-27,     5.47333E-27,     1.31080E-27
    9.91330E-01,     5.47743E-27,     5.44110E-27,     1.77251E-27
    9.91340E-01,     5.44614E-27,     5.41004E-27,     9.24044E-28
    9.91350E-01,     5.41499E-27,     5.37942E-27,     1.25452E-27
    9.91360E-01,     5.38398E-27,     5.34740E-27,     2.93469E-28
    9.91370E-01,     5.35312E-27,     5.31729E-27,     2.40136E-27
    9.91380E-01,     5.32240E-27,     5.28576E-27,     2.74185E-27
    9.91390E-01,     5.29183E-27,     5.25531E-27,     1.06037E-27
    9.91400E-01,     5.26139E-27,     5.22486E-27,     1.87599E-27
    9.91410E-01,     5.23110E-27,     5.19532E-27,     1.87691E-27
    9.91420E-01,     5.20094E-27,     5.16407E-27,     9.69718E-28
    9.91430E-01,     5.17093E-27,     5.13577E-27,     5.57992E-28
    9.91440E-01,     5.14106E-27,     5.10444E-27,     2.61155E-27
    9.91450E-01,     5.11133E-27,     5.07460E-27,     5.84590E-28
    9.91460E-01,     5.08173E-27,     5.04542E-27,     2.70893E-27
    9.91470E-01,     5.05227E-27,     5.01598E-27,     9.69376E-28
    9.91480E-01,     5.02296E-27,     4.98654E-27,     1.99815E-27
    9.91490E-01,     4.99377E-27,     4.95695E-27,     1.19076E-27
    9.91500E-01,     4.96473E-27,     4.92766E-27,     1.50467E-27
    9.91510E-01,     4.93582E-27,     4.89905E-27,     2.11519E-27
    9.91520E-01,     4.90705E-27,     4.87008E-27,     1.75552E-27
