x, a priori error bound, running error bound, forward error
    9.90880E-01,     8.76940E-27,     7.03022E-27,     3.41572E-27
    9.90890E-01,     8.73110E-27,     7.00878E-27,     6.21536E-27
    9.90900E-01,     8.69297E-27,     6.97063E-27,     2.96106E-27
    9.90910E-01,     8.65501E-27,     6.93391E-27,     4.84257E-28
    9.90920E-01,     8.61722E-27,     6.90454E-27,     3.36760E-27
    9.90930E-01,     8.57959E-27,     6.86581E-27,     5.41407E-28
    9.90940E-01,     8.54212E-27,     6.81840E-27,     1.93786E-27
    9.90950E-01,     8.50483E-27,     6.78597E-27,     8.38384E-28
    9.90960E-01,     8.46769E-27,     6.75276E-27,     6.15812E-27
    9.90970E-01,     8.43073E-27,     6.69428E-27,     8.33058E-28
    9.90980E-01,     8.39392E-27,     6.67165E-27,     5.52221E-27
    9.90990E-01,     8.35728E-27,     6.62560E-27,     2.26042E-27
    9.91000E-01,     8.32080E-27,     6.59118E-27,     4.50299E-28
    9.91010E-01,     8.28448E-27,     6.56014E-27,     5.12779E-27
    9.91020E-01,     8.24832E-27,     6.50913E-27,     4.75459E-27
    9.91030E-01,     8.21233E-27,     6.50387E-27,     4.36725E-28
    9.91040E-01,     8.17649E-27,     6.45422E-27,     1.41514E-28
    9.91050E-01,     8.14082E-27,     6.41447E-27,     1.73518E-27
    9.91060E-01,     8.10530E-27,     6.37704E-27,     2.33591E-27
    9.91070E-01,     8.06994E-27,     6.35411E-27,     2.31057E-27
    9.91080E-01,     8.03474E-27,     6.33502E-27,     6.06398E-28
    9.91090E-01,     7.99970E-27,     6.28437E-27,     2.19296E-27
    9.91100E-01,     7.96481E-27,     6.25274E-27,     1.54040E-27
    9.91110E-01,     7.93009E-27,     6.22018E-27,     9.05134E-28
    9.91120E-01,     7.89551E-27,     6.18694E-27,     2.54662E-27
    9.91130E-01,     7.86110E-27,     6.13566E-27,     3.13721E-27
    9.91140E-01,     7.82683E-27,     6.09047E-27,     3.17734E-27
    9.91150E-01,     7.79273E-27,     6.08084E-27,     1.42802E-27
    9.91160E-01,     7.75877E-27,     6.02230E-27,     4.77799E-28
    9.91170E-01,     7.72497E-27,     6.01539E-27,     1.28651E-28
    9.91180E-01,     7.69132E-27,     5.96200E-27,     2.99735E-27
    9.91190E-01,     7.65783E-27,     5.93868E-27,     3.11454E-27
    9.91200E-01,     7.62448E-27,     5.89150E-27,     1.22039E-27
    9.91210E-01,     7.59129E-27,     5.86327E-27,     6.48314E-29
    9.91220E-01,     7.55825E-27,     5.83388E-27,     2.64160E-27
    9.91230E-01,     7.52536E-27,     5.80825E-27,     2.58298E-27
    9.91240E-01,     7.49262E-27,     5.77110E-27,     2.11063E-27
    9.91250E-01,     7.46003E-27,     5.73437E-27,     2.10029E-27
    9.91260E-01,     7.42758E-27,     5.71388E-27,     9.17450E-28
    9.91270E-01,     7.39529E-27,     5.67455E-27,     1.76971E-27
    9.91280E-01,     7.36314E-27,     5.64785E-27,     1.17844E-27
    9.91290E-01,     7.33114E-27,     5.61047E-27,     1.86099E-27
    9.91300E-01,     7.29929E-27,     5.57606E-27,     2.71410E-27
    9.91310E-01,     7.26758E-27,     5.54882E-27,     1.30579E-27
    9.91320E-01,     7.23602E-27,     5.51173E-27,     1.31080E-27
    9.91330E-01,     7.20460E-27,     5.48682E-27,     1.77251E-27
    9.91340E-01,     7.17333E-27,     5.43633E-27,     9.24044E-28
    9.91350E-01,     7.14220E-27,     5.42705E-27,     1.25452E-27
    9.91360E-01,     7.11122E-27,     5.38238E-27,     2.93469E-28
    9.91370E-01,     7.08038E-27,     5.35744E-27,     2.40136E-27
    9.91380E-01,     7.04968E-27,     5.32830E-27,     2.74185E-27
    9.91390E-01,     7.01913E-27,     5.28239E-27,     1.06037E-27
    9.91400E-01,     6.98871E-27,     5.28932E-27,     1.87599E-27
    9.91410E-01,     6.95844E-27,     5.23690E-27,     1.87691E-27
    9.91420E-01,     6.92831E-27,     5.21891E-27,     9.69718E-28
    9.91430E-01,     6.89832E-27,     5.17223E-27,     5.57992E-28
    9.91440E-01,     6.86846E-27,     5.16083E-27,     2.61155E-27
    9.91450E-01,     6.83875E-27,     5.12110E-27,     5.84590E-28
    9.91460E-01,     6.80918E-27,     5.08277E-27,     2.70893E-27
    9.91470E-01,     6.77974E-27,     5.05917E-27,     9.69376E-28
